1/3/2011,1271.87,2691.52
1/4/2011,1270.2,2681.25
1/5/2011,1276.56,2702.2
1/6/2011,1273.85,2709.89
1/7/2011,1271.5,2703.17
1/10/2011,1269.75,2707.8
1/11/2011,1274.48,2716.83
1/12/2011,1285.96,2737.33
1/13/2011,1283.76,2735.29
1/14/2011,1293.24,2755.3
1/18/2011,1295.02,2765.85
1/19/2011,1281.92,2725.36
1/20/2011,1280.26,2704.29
1/21/2011,1283.35,2689.54
1/24/2011,1290.84,2717.55
1/25/2011,1291.18,2719.25
1/26/2011,1296.63,2739.5
1/27/2011,1299.54,2755.28
1/28/2011,1276.34,2686.89
1/31/2011,1286.12,2700.08
2/1/2011,1307.59,2751.19
2/2/2011,1304.03,2749.56
2/3/2011,1307.1,2753.88
2/4/2011,1310.87,2769.3
2/7/2011,1319.05,2783.99
2/8/2011,1324.57,2797.05
2/9/2011,1320.88,2789.07
2/10/2011,1321.87,2790.45
2/11/2011,1329.15,2809.44
2/14/2011,1332.32,2817.18
2/15/2011,1328.01,2804.35
2/16/2011,1336.32,2825.56
2/17/2011,1340.43,2831.58
2/18/2011,1343.01,2833.95
2/22/2011,1315.44,2756.42
2/23/2011,1307.4,2722.99
2/24/2011,1306.1,2737.9
2/25/2011,1319.88,2781.05
2/28/2011,1327.22,2782.27
3/1/2011,1306.33,2737.41
3/2/2011,1308.44,2748.07
3/3/2011,1330.97,2798.74
3/4/2011,1321.15,2784.67
3/7/2011,1310.13,2745.63
3/8/2011,1321.82,2765.77
3/9/2011,1320.02,2751.72
3/10/2011,1295.11,2701.02
3/11/2011,1304.28,2715.61
3/14/2011,1296.39,2700.97
3/15/2011,1281.87,2667.33
3/16/2011,1256.88,2616.82
3/17/2011,1273.72,2636.05
3/18/2011,1279.21,2643.67
3/21/2011,1298.38,2692.09
3/22/2011,1293.77,2683.87
3/23/2011,1297.54,2698.3
3/24/2011,1309.66,2736.42
3/25/2011,1313.8,2743.06
3/28/2011,1310.19,2730.68
3/29/2011,1319.44,2756.89
3/30/2011,1328.26,2776.79
3/31/2011,1325.83,2781.07
4/1/2011,1332.41,2789.6
4/4/2011,1332.87,2789.19
4/5/2011,1332.63,2791.19
4/6/2011,1335.54,2799.82
4/7/2011,1333.51,2796.14
4/8/2011,1328.17,2780.42
4/11/2011,1324.46,2771.51
4/12/2011,1314.16,2744.79
4/13/2011,1314.41,2761.52
4/14/2011,1314.52,2760.22
4/15/2011,1319.68,2764.65
4/18/2011,1305.14,2735.38
4/19/2011,1312.62,2744.97
4/20/2011,1330.36,2802.51
4/21/2011,1337.38,2820.16
4/25/2011,1335.25,2825.88
4/26/2011,1347.24,2847.54
4/27/2011,1355.66,2869.88
4/28/2011,1360.48,2872.53
4/29/2011,1363.61,2873.54
5/2/2011,1361.22,2864.08
5/3/2011,1356.62,2841.62
5/4/2011,1347.32,2828.23
5/5/2011,1335.1,2814.72
5/6/2011,1340.2,2827.56
5/9/2011,1346.29,2843.25
5/10/2011,1357.16,2871.89
5/11/2011,1342.08,2845.06
5/12/2011,1348.65,2863.04
5/13/2011,1337.77,2828.47
5/16/2011,1329.47,2782.31
5/17/2011,1328.98,2783.21
5/18/2011,1340.68,2815
5/19/2011,1343.6,2823.31
5/20/2011,1333.27,2803.32
5/23/2011,1317.37,2758.9
5/24/2011,1316.28,2746.16
5/25/2011,1320.47,2761.38
5/26/2011,1325.69,2782.92
5/27/2011,1331.1,2796.86
5/31/2011,1345.2,2835.3
6/1/2011,1314.55,2769.19
6/2/2011,1312.94,2773.31
6/3/2011,1300.16,2732.78
6/6/2011,1286.17,2702.56
6/7/2011,1284.94,2701.56
6/8/2011,1279.56,2675.38
6/9/2011,1289,2684.87
6/10/2011,1270.98,2643.73
6/13/2011,1271.83,2639.69
6/14/2011,1287.87,2678.72
6/15/2011,1265.42,2631.46
6/16/2011,1267.64,2623.7
6/17/2011,1271.5,2616.48
6/20/2011,1278.36,2629.66
