1/1/2012	1391	1158	1201
1/2/2012	1379	1439	1015
1/3/2012	1026	1288	1282
1/4/2012	1497	1063	1089
1/5/2012	1153	1107	1051
1/6/2012	1367	1351	1037
1/7/2012	1243	1079	1139
1/8/2012	1445	1187	1174
1/9/2012	1495	1095	1192
1/10/2012	1031	1441	1277
1/11/2012	1061	1312	1122
1/12/2012	1231	1382	1437
1/13/2012	1069	1018	1180
1/14/2012	1309	1358	1425
1/15/2012	1161	1376	1017
1/16/2012	1250	1401	1198
1/17/2012	1235	1341	1114
1/18/2012	1345	1089	1158
1/19/2012	1487	1110	1382
1/20/2012	1308	1165	1453
1/21/2012	1326	1058	1140
1/22/2012	1021	1176	1085
1/23/2012	1219	1190	1233
1/24/2012	1345	1057	1300
1/25/2012	1283	1491	1273
1/26/2012	1435	1483	1298
1/27/2012	1097	1102	1022
1/28/2012	1222	1218	1485
1/29/2012	1270	1108	1180
1/30/2012	1339	1372	1499
1/31/2012	1435	1181	1235
